"loc","year","plot","gen","rep","trt","DHE","DMA","PLH","GYLD","TKW"
"Asasa","y2005","p59","EH1505","r4","t3",76,118,95,4540,42.6
"Asasa","y2005","p60","EH1847","r4","t1",70,114,90,4131,41
"Bekoji","y2005","p1","EH1877","r1","t6",85,161,85,4598,55.6
"Bekoji","y2005","p2","EH1505","r1","t3",92,162,95,3493,58.2
"Bekoji","y2005","p3","EH1900","r1","t2",91,159,110,3392,52.2
"Bekoji","y2005","p4","IBON2796","r1","t11",83,159,85,4303,56.4
"Bekoji","y2005","p5","EH1869","r1","t7",97,164,100,4252,56
"Bekoji","y2005","p6","EH1893","r1","t4",97,161,100,4041,49.2
"Bekoji","y2005","p7","EH1864","r1","t10",95,163,95,4341,54.8
"Bekoji","y2005","p8","EH1847","r1","t1",87,161,95,3927,53.4
"Bekoji","y2005","p9","IBON4499","r1","t5",94,163,90,3658,61.2
"Bekoji","y2005","p10","F2SXS13395","r1","t12",93,163,95,3490,56.8
"Bekoji","y2005","p11","Beka","r1","t15",104,163,110,2699,44
"Bekoji","y2005","p12","HB120","r1","t14",102,163,115,4396,44.4
"Bekoji","y2005","p13","EH1551","r1","t8",85,162,100,4278,63.6
"Bekoji","y2005","p14","BNEth019","r1","t13",87,161,98,4755,56
"Bekoji","y2005","p15","EH18472","r1","t9",97,161,100,4153,50.4
"Bekoji","y2005","p16","EH1893","r2","t4",109,169,95,4327,46.2
"Bekoji","y2005","p17","Beka","r2","t15",107,163,115,3974,43
"Bekoji","y2005","p18","BNEth019","r2","t13",85,159,98,3783,53.6
"Bekoji","y2005","p19","IBON4499","r2","t5",87,161,100,5778,56.4
"Bekoji","y2005","p20","EH18472","r2","t9",97,165,115,4601,47.6
"Bekoji","y2005","p21","HB120","r2","t14",97,163,115,3618,38.8
"Bekoji","y2005","p22","EH1864","r2","t10",97,161,90,4257,54.6
"Bekoji","y2005","p23","EH1877","r2","t6",87,159,90,4817,58.4
"Bekoji","y2005","p24","EH1869","r2","t7",95,163,100,5081,56.6
"Bekoji","y2005","p25","F2SXS13395","r2","t12",87,163,100,5226,59.8
"Bekoji","y2005","p26","EH1900","r2","t2",87,159,105,4249,53.2
"Bekoji","y2005","p27","IBON2796","r2","t11",83,161,95,5612,57
"Bekoji","y2005","p28","EH1505","r2","t3",92,163,95,3525,58.2
"Bekoji","y2005","p29","EH1847","r2","t1",87,161,100,5174,53
"Bekoji","y2005","p30","EH1551","r2","t8",83,161,100,5099,63.4
"Bekoji","y2005","p31","IBON2796","r3","t11",85,163,95,5370,54.4
"Bekoji","y2005","p32","EH18472","r3","t9",97,163,110,3979,54.2
"Bekoji","y2005","p33","BNEth019","r3","t13",85,159,95,5029,52
"Bekoji","y2005","p34","IBON4499","r3","t5",87,163,90,4351,59.2
"Bekoji","y2005","p35","EH1847","r3","t1",87,159,100,4149,52.4
"Bekoji","y2005","p36","EH1864","r3","t10",95,163,95,4404,53.4
"Bekoji","y2005","p37","EH1869","r3","t7",95,161,110,6204,53.2
"Bekoji","y2005","p38","EH1551","r3","t8",83,161,100,4257,63.6
